tab	sites
site	location	samples	specimens	age_high	age_low	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	analysts	criteria	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
AF1-1a	Keweenaw Peninsula	AF1-1a	AF1-1a	992.0	985.0	Ma		hdt	281.8	-17.9		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	  186.7 	   96.9 	    1.1 	  166.9 
AF1-1a	Keweenaw Peninsula	AF1-1a	AF1-1a	992.0	985.0	Ma		hct	90.0	25.0		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  193.4 	  103.9 	    9.6 	  352.8 
AF1-1a	Keweenaw Peninsula	AF1-1a	AF1-1a	992.0	985.0	Ma		lt	14.0	61.6		1.0	1	1	0	n		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  277.9 	  214.5 	   79.1 	   21.4 
AF1-20a	Keweenaw Peninsula	AF1-20a	AF1-20a	992.0	985.0	Ma		hdt	73.2	11.0		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	  182.5 	   92.5 	   15.4 	   10.5 
AF1-20a	Keweenaw Peninsula	AF1-20a	AF1-20a	992.0	985.0	Ma		hdt	73.0	11.2		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  182.6 	   92.6 	   15.6 	   10.6 
AF1-22a	Keweenaw Peninsula	AF1-22a	AF1-22a	992.0	985.0	Ma		hct	65.2	29.0		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  198.3 	  109.3 	   28.1 	    9.3 
AF1-22a	Keweenaw Peninsula	AF1-22a	AF1-22a	992.0	985.0	Ma		hdt	75.1	15.6		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	  185.1 	   95.2 	   15.9 	    7.4 
AF1-22a	Keweenaw Peninsula	AF1-22a	AF1-22a	992.0	985.0	Ma		hct	64.6	29.0		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  198.3 	  109.3 	   28.5 	    9.8 
AF1-22a	Keweenaw Peninsula	AF1-22a	AF1-22a	992.0	985.0	Ma		hdt	74.8	15.8		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  185.2 	   95.3 	   16.2 	    7.5 
AF1-23a	Keweenaw Peninsula	AF1-23a	AF1-23a	992.0	985.0	Ma		hct	69.8	24.7		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  193.1 	  103.6 	   23.1 	    7.7 
