tab	samples
analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site
	245.2	0.0	9.0	298.5	This study	-52.0			111.4		SO-CMD-NORTH	HF1-102	HF1
	246.5	0.0	9.0	298.5	This study	-27.0			111.45		SO-CMD-NORTH	HF1-103	HF1
	222.8	0.0	9.0	298.5	This study	-74.0			111.48		SO-CMD-NORTH	HF1-104	HF1
	246.3	0.0	9.0	298.5	This study	-45.0			111.73		SO-CMD-NORTH	HF1-106	HF1
	253.1	0.0	9.0	298.5	This study	-47.0			111.79		SO-CMD-NORTH	HF1-107	HF1
	243.8	0.0	9.0	298.5	This study	-59.0			112.64		SO-CMD-NORTH	HF1-108	HF1
	254.6	0.0	9.0	298.5	This study	-76.0			112.68		SO-CMD-NORTH	HF1-109	HF1
	251.2	0.0	9.0	298.5	This study	-74.0			112.73		SO-CMD-NORTH	HF1-110	HF1
	246.8	0.0	9.0	298.5	This study	-69.0			112.95		SO-CMD-NORTH	HF1-111	HF1
	253.3	0.0	9.0	298.5	This study	-74.0			113.08		SO-CMD-NORTH	HF1-112	HF1
	251.4	0.0	9.0	298.5	This study	-79.0			113.21		SO-CMD-NORTH	HF1-113	HF1
	150.8	0.0	9.0	298.5	This study	-30.0			113.5		SO-CMD-NORTH	HF1-114	HF1
	239.1	0.0	9.0	298.5	This study	-54.0			114.12		SO-CMD-NORTH	HF1-116	HF1
	236.5	0.0	9.0	298.5	This study	-50.0			114.3		SO-CMD-NORTH	HF1-117	HF1
	256.2	0.0	9.0	298.5	This study	-51.0			114.55		SO-CMD-NORTH	HF1-118	HF1
	261.8	0.0	9.0	298.5	This study	-60.0			114.68		SO-CMD-NORTH	HF1-120	HF1
	190.8	0.0	9.0	298.5	This study	-66.0			101.75		SO-CMD-NORTH	HF1-121	HF1
	207.9	0.0	9.0	298.5	This study	-42.0			101.76		SO-CMD-NORTH	HF1-122	HF1
	206.6	0.0	9.0	298.5	This study	-47.0			101.85		SO-CMD-NORTH	HF1-123	HF1
	191.6	0.0	9.0	298.5	This study	-33.0			101.86		SO-CMD-NORTH	HF1-124	HF1
	184.8	0.0	9.0	298.5	This study	-35.0			101.92		SO-CMD-NORTH	HF1-125	HF1
